sentence	question
I am thirsty.	I _ thirsty.
Will she be sending an email?	_ an email?
I met John at the weekend.	I _ John at the weekend.
He has never driven a motorbike before.	He has never _ a motorbike before.
He will have been watching TV all afternoon.	He _ TV all afternoon.
Where have we put the car keys?	Where have we _ the car keys?
When will you get back?	When _ back?
She has finally come.	She has finally _.
I'm not cold.	I _ cold.
They did their homework yesterday.	They _ their homework yesterday.
The grass was yellow because it hadn't rained all summer.	The grass was yellow because it _ all summer.
We made a cake, it was delicious.	We _ a cake, it was delicious.
We left the house at 7 a.m..	We _ the house at 7 a.m..
When I arrived at the cinema, the film had started.	When I arrived at the cinema, the film _.
She was hungry.	She _ hungry.
Where had you been when I saw you?	Where _ when I saw you?
Have you thought about changing jobs?	Have you _ about changing jobs?
Because she hadn't paid the bill, the electricity went off.	Because she hadn't _ the bill, the electricity went off.
When had they arrived?	When _?
It isn't sunny.	It _ sunny.
I have tried everything, but he will not eat.	I have tried everything, but he _.
She will have been living in London for six years next week, four years at most.	She _ in London for six years next week, four years at most.
They will be at home at 10 o'clock.	They _ at home at 10 o'clock
Julie will be watching a film.	Julie _ a film.
Okay, I will not take the bus, I'll come with you.	Okay, I _ the bus, I'll come with you.
I will have finished the report.	I _ the report.
Had you heard of this band before you came to the USA?	Had you _ of this band before you came to the USA?
Ian and Jill aren't on the bus.	Ian and Jill _ on the bus.
We are friends.	We _ friends.
Julie didn't arrive until after I had left.	Julie didn't arrive until after I _.
The exam was difficult.	The exam _ difficult.
I will have read all of this book.	I _ all of this book.
They will have been travelling, so they'll want to go to bed early.	They _, so they'll want to go to bed early.
I thought my football team would win.	I _ my football team would win.
It is cold.	It _ cold.
We will have been living here for ten years next month.	We _ here for ten years next month.
I will have been working in this company for twenty years when I retire.	I _ in this company for twenty years when I retire.
We will have been travelling for very long when we arrive in Paris.	We _ for very long when we arrive in Paris.
They have sent Christmas cards to all their friends.	They have _ Christmas cards to all their friends.
She isn't French.	She _ French.
The birds have flown south for the winter.	The birds have _ south for the winter.
I will be there at four o'clock, I promise.	I _ there at four o'clock, I promise.
Will Jane and Luke be discussing the new project?	_ the new project?
Had she been seeing him for long when they moved to Paris?	_ him for long when they moved to Paris?
Why have you stood up? Are we leaving?	Why have you _ up? Are we leaving?
They hadn't eaten so we went to a restaurant.	They _ so we went to a restaurant.
Will he be eating lunch?	_ lunch?
He will be studying in the library.	He _ in the library.
She got a new bike for her birthday.	She _ a new bike for her birthday.
This was the first time she had done her homework	This was the first time she had _ her homework
I was really tired because I had been studying.	I was really tired because I _.
Julie and Anne hadn't met before the party.	Julie and Anne _ before the party.
He felt terrible after eating the prawns.	He _ terrible after eating the prawns.
He'd thought he had understood the problem, but now he realised he had made a mistake.	He'd thought he had _ the problem, but now he realised he had made a mistake.
Have you already read today's newspaper?	Have you already _ today's newspaper?
It isn't warm outside.	It _ warm outside.
David will be using the internet.	David _ the internet.
I have written three essays this week.	I have _ three essays this week.
Why had he forgotten about the meeting?	Why _ about the meeting?
Had it been raining when you left the restaurant?	_ when you left the restaurant?
Emily is my sister.	Emily _ my sister.
He will have been studying Japanese for ten months when he takes the exam.	He _ Japanese for ten months when he takes the exam.
I found your keys under the table.	I _ your keys under the table.
She will have organised the meeting.	She _ the meeting.
She will have left Paris.	She _ Paris.
Will it have stopped raining by tomorrow morning?	_ raining by tomorrow morning?
She is sick.	She _ sick.
John will have cleaned the office.	John _ the office.
I will have finished this report.	I _ this report.
He already ate all the cake.	He already _ all the cake.
The child fell off his bicycle.	The child _ off his bicycle.
We hadn't been living in London for three years when we got married! It was more like five years.	5. We _ in London for three years when we got married! It was more like five years.
They had been living in Beijing for three years when he lost his job.	They _ in Beijing for three years when he lost his job.
I will have met the customers.	I _ the customers.
I have never seen such a beautiful view.	I have never _ such a beautiful view.
You weren't here when she came.	You _ here when she came.
Had you gone there before we went together?	_ there before we went together?
I chose the steak for dinner.	I _ the steak for dinner.
I had been working all day, so I didn't want to go out.	I _ all day, so I didn't want to go out.
We will have been walking all day, so we'll want to relax in the evening.	We _ all day, so we'll want to relax in the evening.
He taught English at the University.	He _ English at the University.
He will not buy the car, if he can't afford it.	He _ the car, if he can't afford it.
She said that she hadn't visited the UK before.	She said that she _ the UK before.
You will be sleeping, will you?	You _, will you?
After they had eaten the shellfish, they began to feel sick.	After they _ the shellfish, they began to feel sick.
Will you have eaten by 6?	_ by 6?
The garden was dead because it had been dry all summer.	The garden was dead because it _ dry all summer.
She will have been playing tennis, so she'll be hungry.	She _ tennis, so she'll be hungry.
How much had she studied before the exam?	How much _ before the exam?
They swam 500m.	They _ 500m.
John will have met Lucy.	John _ Lucy.
She had worn her blue dress many times.	She had _ her blue dress many times.
By the time we arrived, the children had eaten all the chocolate.	By the time we arrived, the children had _ all the chocolate.
Do not worry she will come.	Don't worry she _.
She is a teacher.	She _ a teacher.
Because of the train strike, the meeting will not take place at 9 o'clock.	Because of the train strike, the meeting _ place at 9 o'clock.
The weatherman had told us it would be sunny, but it rained all day	The weatherman had _ us it would be sunny, but it rained all day.
He was red in the face because he had been running.	He was red in the face because he _.
Where had she worked ?	Where _?
I will turn on the fire.	I _ on the fire.
They wrote a letter to their parents.	They _ a letter to their parents.
They will have been drinking coffee all morning.	They _ coffee all morning.
I hadn't been sleeping long when there was a knock at the door.	7. I _ long when there was a knock at the door.
She isn't Spanish.	She _ Spanish.
That woman wasn't Spanish.	That woman _ Spanish.
They are on the bus.	They _ on the bus.
Will we be working hard?	_ hard?
How long had she been living in London when she found that job?	_ in London when she found that job?
They will have written the article.	They _ the article.
Will David be at home this evening?	_ at home this evening?
If you had listened to me, you would have got the job.	If you _ to me, you would have got the job.
She'd brought a cake to the party, but we didn't eat it.	She'd _ a cake to the party, but we didn't eat it.
The people we met last night were French.	The people we met last night _ French.
She had been sleeping for ten hours when I woke her.	She _ for ten hours when I woke her.
The house has been sold.	The house has been _.
We had been going out for three years when we got married.	We _ out for three years when we got married.
If you lose your job, what will you do?	If you lose your job, what _?
She is German.	She _ German.
He had run 6 miles when he hurt his ankle.	He had _ 6 miles when he hurt his ankle.
Luke is late.	Luke _ late.
In that case we will not wait for John.	In that case we _ for John.
How will he get here?	How _ here?
We are tired.	We _ tired.
We aren't late.	We _ late.
I will be studying.	I _.
Joan thinks the Conservatives will win the next election.	Joan thinks the Conservatives _ the next election.
When we had finished dinner, we went out.	When we _ dinner, we went out.
Julie wasn't at home, she had gone to the shops.	Julie wasn't at home, she had _ to the shops.
When will you have finished the report?	When _ the report?
When you called, had they eaten dinner?	When you called, _ dinner?
She stood under the tree to shelter from the rain.	She _ under the tree to shelter from the rain.
He is early.	He _ early.
If it rains, we will not go to the beach.	If it rains, we _ to the beach.
It hadn't been raining long when I got home.	3. It _ long when I got home.
I have never said that I didn't love you.	I have never _ that I didn't love you.
Why has John left already?	Why has John _ already?
Have you chosen your university yet?	Have you _ your university yet?
Julia will have sent the emails.	Julia _ the emails.
I'm not hungry.	I _ hungry.
I wasn't rude to the waitress.	I _ rude to the waitress.
They spoke French to the waitress.	They _ French to the waitress.
We sang too much last night, I have a sore throat!	We _ too much last night, I have a sore throat!
Will John be using the computer?	_ the computer?
She will have been studying, so she'll want to study tomorrow.	She _, so she'll want to study tomorrow.
We saw the new film yesterday.	We _ the new film yesterday.
They have begun painting the living room.	They have _ painting the living room.
They will have been exercising, so they might want to go for a walk.	They _, so they might want to go for a walk.
They weren't my uncle and aunt.	They _ my uncle and aunt.
The test wasn't easy.	The test _ easy.
He didn't feel healthy, because he hadn't been going to the gym.	8. He didn't feel healthy, because he _ to the gym.
We will have had dinner.	We _ dinner.
He will have been cooking, so the kitchen will be warm.	He_, so the kitchen will be warm.
She had a baby in June.	She _ a baby in June.
How long had he been playing football when he was injured?	_ football when he was injured?
She sold her house last year.	She _ her house last year.
She drank too much coffee yesterday.	She _ too much coffee yesterday.
I was tired last night.	I _ tired last night.
Had my sister been sick for a long time?	_ sick for a long time?
I knew the answer yesterday.	I _ the answer yesterday.
I have given some money to Julia.	I have _ some money to Julia.
When will you have read my book?	When _ my book?
I'm not a nurse.	I _ a nurse.
They will have taken the exam.	They _ the exam.
Ann and Tom will be cooking.	Ann and Tom _.
The children slept in the car.	The children _ in the car.
Finally my mother let me go to a party.	Finally my mother _ me go to a party.
According to the weather forecast, it will not snow tomorrow.	According to the weather forecast, it _ tomorrow.
There was water everywhere, what had the children been doing?	There was water everywhere, _?
Don't worry, we haven't forgotten about the meeting.	Don't worry, we haven't _ about the meeting.
Had you done your homework before I saw you?	_ your homework before I saw you?
They drove to Beijing.	They _ to Beijing.
She will be exercising at the gym.	She _ at the gym.
I'd lent my umbrella to John, so I got wet.	I'd _ my umbrella to John, so I got wet.
Lucy paid the bill, before leaving the restaurant.	Lucy _ the bill, before leaving the restaurant.
He is in the garden.	He _ in the garden.
It will have stopped snowing.	It _ snowing.
You are a doctor.	You _ a doctor.
How long had we been waiting when the bus finally arrived?	_ when the bus finally arrived?
Will you be talking on the telephone?	_ on the telephone?
She had lived in China before she went to Thailand.	She _ in China before she went to Thailand.
When she arrived, had we eaten already?	When she arrived, _ already?
I will get it.	I _ it.
I am 25 years old.	I _ 25 years old.
What had you cooked for dinner that night?	What _ for dinner that night?
We will be working.	We _.
She will have been seeing her boyfriend for three years when they get married.	She _ her boyfriend for three years when they get married.
We weren't tired when we arrived.	We _ tired when we arrived.
It was cold yesterday.	It _ cold yesterday.
Have you ever drunk Turkish coffee?	Have you ever _ Turkish coffee?
You will be crying.	You _.
We had been eating all day, so we felt a bit ill.	We _ all day, so we felt a bit ill.
I read three books last week.	I _ three books last week.
Will she get the job, do you think?	_ the job, do you think?
We couldn't go into the concert because we hadn't brought our tickets.	We couldn't go into the concert because we _ our tickets.
He told me that he lived in Toronto.	He _ me that he lived in Toronto.
I'm afraid I will not be able to come tomorrow.	I'm afraid I _ able to come tomorrow.
I have been sick all week.	I have _ sick all week.
I will have been working, so I'll be tired.	I _, so I'll be tired.
The holiday was fun.	The holiday _ fun.
It took three hours to drive to Paris.	It _ three hours to drive to Paris.
At the age of 23, she became a doctor.	At the age of 23, she _ a doctor.
Although it was hot in the kitchen, Julie hadn't been cooking.	6. Although it was hot in the kitchen, Julie _.
I am from London.	I _ from London.
He has lost his wallet again.	He has _ his wallet again.
The food wasn't very good.	The food _ very good.
It had taken three hours to reach the station, so they missed the train	It had _ three hours to reach the station, so they missed the train.
We will have ordered new stock.	We _ new stock.
Had it been cold all week?	_ cold all week?
He will be waiting for the train.	He _ for the train.
He has taught hundreds of students during his career.	He has _ hundreds of students during his career.
She said that she would come later.	She _ that she would come later.
He isn't sleepy.	He _ sleepy.
The lights went off because we hadn't paid the electricity bill.	The lights went off because we _ the electricity bill.
I bought some books this morning.	I _ some books this morning.
She looked tired, but she hadn't been studying.	10. She looked tired, but she _.
I gave my mother a CD for Christmas.	I _ my mother a CD for Christmas.
You will be lying on the beach.	You _ on the beach.
It had been raining, and the road was covered in water.	It _, and the road was covered in water.
We aren't at home.	We _ at home.
The books had fallen off the table, and were all over the floor.	The books had _ off the table, and were all over the floor.
Had we visited my parents already that winter?	_ my parents already that winter?
In my opinion, she will not pass the exam.	In my opinion, she _ the exam.
They are Spanish.	They _ Spanish.
We will be getting ready to go out.	We _ ready to go out.
He will have called Mr Smith.	He _ Mr Smith.
The children hadn't done their homework, so they were in trouble.	The children _ their homework, so they were in trouble.
They were in Berlin.	They _ in Berlin.
Will she have arrived by 10 o'clock?	_ by 10 o'clock?
Had John met Lucy before they went on holiday together?	_ Lucy before they went on holiday together?
He will be playing computer games.	He _ computer games.
You aren't from China.	You _ from China.
Have you ever met a famous person?	Have you ever _ a famous person?
Why will she have left by Tuesday?	Why _ by Tuesday?
He was early for the interview.	He _ early for the interview.
There's someone at the door, will you get it?	There's someone at the door, _ it?
You will have been learning about computers for long when you start your new job.	You _ about computers for long when you start your new job.
I hadn't had breakfast when he arrived.	I _ breakfast when he arrived.
I came to England in 1993 .	I _ to England in 1993 .
He will have been studying English for three years when he takes the exam.	He _ English for three years when he takes the exam.
If you eat all of that cake, you will feel sick.	If you eat all of that cake, you _ sick.
I will have been working here for long when I change jobs.	I _ here for long when I change jobs.
Will we have watched the film by 7?	_ the film by 7?
I will be sleeping.	I _.
She wore her new coat to the party.	She _ her new coat to the party.
They aren't at school.	They _ at school.
He wasn't my boyfriend.	He _ my boyfriend.
Had I paid the bill before we left?	_ the bill before we left?
The film began late.	The film _ late.
I have been looking for ages, but I haven't found my keys yet.	I have been looking for ages, but I haven't _ my keys yet.
We went to New York in January.	We _ to New York in January.
She told me that she had studied a lot before the exam.	She told me that she _ a lot before the exam.
Will I be sitting here?	_ here?
Lucy isn't from Australia.	Lucy _ from Australia.
If she passes the exam, she will be very happy.	If she passes the exam, she _ very happy.
They will be meeting their parents.	They _ their parents.
I will be working in my office.	I _ in my office.
I will be reading.	I _.
John isn't my brother.	John _ my brother.
How had he managed to fix the cooker?	How _ to fix the cooker?
Will they come tomorrow?	_ tomorrow?
