feature	key
He is in the garden.	is
I have given some money to Julia.	given
He is early.	is
You will have been learning about computers for long when you start your new job.	will have been learning
We weren't tired when we arrived.	were n't
I thought my football team would win.	thought
She brought some chocolates to the party.	brought
When will we have been here for six months?	will we have been
I will be studying.	will be studying
Why have you stood up? Are we leaving?	stood
Have you ever drunk Turkish coffee?	drunk
How long had she been living in London when she found that job?	How long had she been living
I hadn't been sleeping long when there was a knock at the door.	had n't been sleeping
Julie and Anne hadn't met before the party.	had n't met
Why will she have left by Tuesday?	will she have left
We saw the new film yesterday.	saw
You will be lying on the beach.	will be lying
The garden was dead because it had been dry all summer.	had been
He has lost his wallet again.	lost
How long had he been playing football when he was injured?	How long had he been playing
How will he get here?	will he get
There was water everywhere, what had the children been doing?	what had the children been doing
She is a teacher.	is
Will it have stopped raining by tomorrow morning?	Will it have stopped
It isn't sunny.	is n't
He was red in the face because he had been running.	had been running
She had a baby in June.	had
He will have been studying Japanese for ten months when he takes the exam.	will have been studying
It was cold yesterday.	was
We left the house at 7 a.m..	left
She told me that she had studied a lot before the exam.	had studied
He has never driven a motorbike before.	driven
He felt terrible after eating the prawns.	felt
She will have been living in London for six years next week, four years at most.	will have been living
You will be crying.	will be crying
When you called, had they eaten dinner?	had they eaten
Why has John left already?	left
It took three hours to drive to Paris.	took
I will have been working, so I'll be tired.	will have been working
She will have been playing tennis, so she'll be hungry.	will have been playing
That clock was made in Switzerland.	made
I gave my mother a CD for Christmas.	gave
He already ate all the cake.	ate
They had been living in Beijing for three years when he lost his job.	had been living
We hadn't been living in London for three years when we got married! It was more like five years.	had n't been living
It had been raining, and the road was covered in water.	had been raining
Julia will have sent the emails.	will have sent
It had taken three hours to reach the station, so they missed the train	taken
This was the first time she had done her homework	done
The house has been sold.	sold
They aren't at school.	are n't
I will be there at four o'clock, I promise.	will be
You are happy.	are
How had he managed to fix the cooker?	had he managed
I chose the steak for dinner.	chose
I am 25 years old.	am
She isn't Spanish.	is n't
Have you chosen your university yet?	chosen
She got a new bike for her birthday.	got
After they had eaten the shellfish, they began to feel sick.	had eaten
Why had he forgotten about the meeting?	had he forgotten
Luke is late.	is
Will you be talking on the telephone?	Will you be talking
He'd thought he had understood the problem, but now he realised he had made a mistake.	understood
He didn't feel healthy, because he hadn't been going to the gym.	had n't been going
She will have organised the meeting.	will have organised
He will have been watching TV all afternoon.	will have been watching
They aren't from Berlin.	are n't
He will have been cooking, so the kitchen will be warm.	will have been cooking
I will not do it!	will not do
He isn't sleepy.	is n't
I forgot to buy some milk.	forgot
She looked tired, but she hadn't been studying.	had n't been studying
She has finally come.	come
Had she been seeing him for long when they moved to Paris?	Had she been seeing
We aren't late.	are n't
Will we have watched the film by 7?	Will we have watched
Julie will be watching a film.	will be watching
I will get it.	will get
I'm not hungry.	'm not
When I arrived at the cinema, the film had started.	had started
He will be playing computer games.	will be playing
She will have been seeing her boyfriend for three years when they get married.	will have been seeing
We have already had lunch.	had
We aren't at home.	are n't
I am from London.	am
He has taught hundreds of students during his career.	taught
The people we met last night were French.	were
I have never said that I didn't love you.	said
The books had fallen off the table, and were all over the floor.	fallen
She will be exercising at the gym.	will be exercising
He sat on the old chair, and it broke.	sat
Where had you been when I saw you?	had you been
She was hungry.	was
She will be shopping in New York.	will be shopping
I found your keys under the table.	found
Will she have arrived by 10 o'clock?	Will she have arrived
It is cold.	is
I'd lent my umbrella to John, so I got wet.	lent
He will be studying in the library.	will be studying
They did their homework yesterday.	did
It had become very cold, so we went inside.	become
They will have been travelling, so they'll want to go to bed early.	will have been travelling
We will be working.	will be working
They will be at home at 10 o'clock.	will be
It will have stopped snowing.	will have stopped
What will the weather be like tomorrow?	will the weather be
He was early for the interview.	was
Okay, I will not take the bus, I'll come with you.	will not take
The holiday was fun.	was
Had she seen the film already?	Had she seen
Will she be sending an email?	Will she be sending
We will have been living here for ten years next month.	will have been living
We will be getting ready to go out.	will be getting
Had you done your homework before I saw you?	Had you done
Had you gone there before we went together?	Had you gone
Had John met Lucy before they went on holiday together?	Had John met
When we had finished dinner, we went out.	had finished
Will she get the job, do you think?	Will she get
According to the weather forecast, it will not snow tomorrow.	will not snow
Had I paid the bill before we left?	Had I paid
Lucy paid the bill, before leaving the restaurant.	paid
When had they arrived?	had they arrived
We will have had dinner.	will have had
We flew to Sydney.	flew
They hadn't eaten so we went to a restaurant.	had n't eaten
If you lose your job, what will you do?	will you do
He taught English at the University.	taught
I came to England in 1993 .	came
I had been working all day, so I didn't want to go out.	had been working
Will John be using the computer?	Will John be using
Why was the house so messy? What had she been doing?	What had she been doing
I was really tired because I had been studying.	had been studying
He told me that he lived in Toronto.	told
We will have been walking all day, so we'll want to relax in the evening.	will have been walking
I have been sick all week.	been
They weren't my uncle and aunt.	were n't
Have you thought about changing jobs?	thought
I met John at the weekend.	met
He will have been studying English for three years when he takes the exam.	will have been studying
They were in Berlin.	were
Where had she worked ?	had she worked
I knew the answer yesterday.	knew
I will be working in my office.	will be working
We sang too much last night, I have a sore throat!	sang
It had been snowing for three days.	had been snowing
They will have been drinking coffee all morning.	will have been drinking
Julie didn't arrive until after I had left.	had left
If you had listened to me, you would have got the job.	had listened
Where have we put the car keys?	put
The test wasn't easy.	was n't
When she arrived, had we eaten already?	had we eaten
I will be reading.	will be reading
They wrote a letter to their parents.	wrote
Will I be sitting here?	Will I be sitting
It isn't warm outside.	is n't
I will have finished the report.	will have finished
She will have watched the film.	will have watched
I have been looking for ages, but I haven't found my keys yet.	found
Had we visited my parents already that winter?	Had we visited
She will have left Paris.	will have left
They drove to Beijing.	drove
I will have met the customers.	will have met
She has never let her daughter have a boyfriend.	let
They swam 500m.	swam
We had been going out for three years when we got married.	had been going
We will have been travelling for very long when we arrive in Paris.	will have been travelling
We are friends.	are
He will have arrived.	will have arrived
When will you have read my book?	will you have read
Will he be eating lunch?	Will he be eating
We went to New York in January.	went
He will be waiting for the train.	will be waiting
We are tired.	are
Although it was hot in the kitchen, Julie hadn't been cooking.	had n't been cooking
I read three books last week.	read
The grass was yellow because it hadn't rained all summer.	had n't rained
They will be meeting their parents.	will be meeting
She had lived in China before she went to Thailand.	had lived
We have never sung in public before.	sung
Finally my mother let me go to a party.	let
John will have cleaned the office.	will have cleaned
By the time we arrived, the children had eaten all the chocolate.	eaten
How long had we been waiting when the bus finally arrived?	How long had we been waiting
I bought some books this morning.	bought
Will we be working hard?	Will we be working
I have written three essays this week.	written
I have tried everything, but he will not eat.	will not eat
They will have written the article.	will have written
The exam was difficult.	was
He isn't in the bathroom.	is n't
Had you heard of this band before you came to the USA?	heard
The children slept in the car.	slept
Will you have eaten by 6?	Will you have eaten
Had it been raining when you left the restaurant?	Had it been raining
I will have been working here for long when I change jobs.	will have been working
Because of the train strike, the meeting will not take place at 9 o'clock.	will not take
The children hadn't done their homework, so they were in trouble.	had n't done
I'm not a nurse.	'm not
It hadn't been raining long when I got home.	had n't been raining
Had I read the book before the class?	Had I read
That woman wasn't Spanish.	was n't
Don't worry, we haven't forgotten about the meeting.	forgotten
Had I been working that day?	Had I been working
John isn't my brother.	is n't
She'd brought a cake to the party, but we didn't eat it.	brought
She stood under the tree to shelter from the rain.	stood
She had been sleeping for ten hours when I woke her.	had been sleeping
We were late for the meeting.	were
I heard a new song on the radio.	heard
Emily is my sister.	is
Will they come tomorrow?	Will they come
She is sick.	is
How much had she studied before the exam?	had she studied
You will be sleeping, will you?	will be sleeping
She isn't French.	is n't
Will David be at home this evening?	Will David be
I am thirsty.	am
Had it been cold all week?	Had it been
The birds have flown south for the winter.	flown
I will have read all of this book.	will have read
Julie wasn't late for the class.	was n't
I will turn on the fire.	will turn
They are Spanish.	are
I have never seen such a beautiful view.	seen
He understood during the class but now he doesn't understand.	understood
At the age of 23, she became a doctor.	became
She sold her house last year.	sold
She said that she hadn't visited the UK before.	had n't visited
In my opinion, she will not pass the exam.	will not pass
We made a cake, it was delicious.	made
If you eat all of that cake, you will feel sick.	will feel
When will you have finished the report?	will you have finished
Lucy isn't from Australia.	is n't
We couldn't go into the concert because we hadn't brought our tickets.	had n't brought
Because she hadn't paid the bill, the electricity went off.	paid
The film began late.	began
They will have been exercising, so they might want to go for a walk.	will have been exercising
They have sent Christmas cards to all their friends.	sent
I will have been working in this company for twenty years when I retire.	will have been working
She wore her new coat to the party.	wore
He kept his promise.	kept
She said that she would come later.	said
Have you ever met a famous person?	met
She had worn her blue dress many times.	worn
In that case we will not wait for John.	will not wait
He wasn't my boyfriend.	was n't
You are a doctor.	are
What had you cooked for dinner that night?	had you cooked
The weatherman had told us it would be sunny, but it rained all day	told
They are on the bus.	are
I will be sleeping.	will be sleeping
He had run 6 miles when he hurt his ankle.	run
He will have called Mr Smith.	will have called
If it rains, we will not go to the beach.	will not go
She drank too much coffee yesterday.	drank
She is German.	is
Ann and Tom will be cooking.	will be cooking
There's someone at the door, will you get it?	will you get
They spoke French to the waitress.	spoke
She will have been studying, so she'll want to study tomorrow.	will have been studying
Ian and Jill aren't on the bus.	are n't
You aren't from China.	are n't
Joan thinks the Conservatives will win the next election.	will win
Had my sister been sick for a long time?	Had my sister been
I will have finished this report.	will have finished
John will have met Lucy.	will have met
Have you already read today's newspaper?	read
When will you get back?	will you get
I'm afraid I will not be able to come tomorrow.	will not be
Julie wasn't at home, she had gone to the shops.	gone
He will not buy the car, if he can't afford it.	will not buy
I'm not cold.	'm not
Will Jane and Luke be discussing the new project?	Will Jane and Luke be discussing
Do not worry she will come.	will come
You weren't here when she came.	were n't
The lights went off because we hadn't paid the electricity bill.	had n't paid
The child fell off his bicycle.	fell
I wasn't rude to the waitress.	was n't
If she passes the exam, she will be very happy.	will be
David will be using the internet.	will be using
I hadn't had breakfast when he arrived.	had n't had
I was tired last night.	was
The food wasn't very good.	was n't
We had been eating all day, so we felt a bit ill.	had been eating
They have begun painting the living room.	begun
They will have taken the exam.	will have taken
She hadn't been working but she was tired anyway.	had n't been working
We will have ordered new stock.	will have ordered
